1999 7351
949 1297 9016
152 559 -9882
955 1544 8174
88 1796 8333
480 1578 -4101
803 1818 -9052
1171 21 934
554 652 2138
1307 1294 -1000
67 69 8005
9 1913 9273
1730 325 -7126
1010 1482 -8421
1809 1311 114
736 1362 -5284
121 522 -9526
1403 1932 4757
864 588 7806
360 1601 -5923
219 672 -934
1340 1380 3168
1986 367 -5996
591 929 -5589
123 589 992
355 1804 6186
1590 849 521
717 184 3084
680 866 8041
1899 744 -9981
1921 469 -5593
1401 885 -9268
1108 1553 6438
1463 38 -8992
1830 1379 3230
950 1674 9968
456 136 7177
1365 1897 -4582
793 1184 3347
73 1238 -2406
850 359 -1759
492 1713 6054
1344 727 -9783
1660 356 -6813
904 1912 287
1758 1506 997
1574 190 4841
634 227 -8168
210 1519 -7664
585 423 4796
1843 306 -4640
1367 741 -6169
322 460 -934
164 1192 -2605
375 1942 -2092
738 843 -809
125 52 -3772
1794 1939 -8855
881 1869 5758
1327 1650 -276
3 1129 -4213
1081 1270 -8821
1883 956 827
1794 1476 6541
1720 48 -2681
1249 1023 -511
1871 1609 6618
1976 422 -4222
1404 238 -2754
1396 1612 8003
965 1715 6641
720 684 358
1552 861 -7529
1929 1343 -9024
239 875 -2613
996 1243 591
457 571 -43
1980 1634 -7981
356 1211 9920
1318 85 -8550
1966 930 -1164
88 528 6059
1680 1526 -865
1002 1606 9302
981 512 6596
1910 1411 1554
503 101 4766
1285 1377 5936
587 1210 5916
1274 346 -6718
567 1900 -6816
863 892 2688
1246 797 3699
1315 1916 1007
1517 490 -5931
836 1488 2468
933 251 8889
1006 2 -5678
459 1413 -9003
642 1075 2521
1642 895 605
855 379 9025
1257 347 -9978
961 1837 -4288
154 876 3180
46 562 5275
752 1781 -4692
163 1558 -6833
1480 1006 9653
1811 781 2913
1535 536 5871
1301 1735 6071
1890 509 279
314 511 -5805
1446 869 -7499
1200 128 9437
919 1697 7626
815 1461 -701
451 478 -1077
1657 1902 -4337
270 1111 4812
1423 419 -5115
42 1161 -3749
1298 35 -9313
18 1153 -1552
1189 1862 -8954
845 434 4812
1114 111 -9452
1014 747 -7141
1841 750 -3062
556 862 2398
1209 1204 1176
908 54 -2873
929 388 421
887 418 2997
796 959 9207
1678 775 -8469
673 784 -7981
670 1616 -4914
1962 1566 -3341
1096 80 -5049
1289 1392 8502
775 1729 -6474
248 1761 -2740
1015 670 -217
73 666 -3588
998 856 4145
1554 514 -2754
1892 43 5937
19 1296 847
1575 1117 5043
1433 569 8454
1463 455 -9513
276 587 9804
482 777 -6281
1265 482 6499
1954 1636 -5481
1195 1822 9407
172 1558 -5958
372 318 -8122
760 776 -6246
1265 1080 -9676
1908 1932 2158
1599 659 -3216
1971 817 4501
1711 359 -9310
354 1675 -4620
385 1092 5453
682 590 1502
1049 449 5840
1557 1458 -6862
1855 814 875
459 809 9245
361 1448 176
21 1766 4032
980 524 -4355
903 480 -6722
578 1317 1482
970 1917 -1941
1312 1257 9804
686 728 3124
1567 1402 2978
516 468 8098
351 311 3450
1987 1599 3326
1275 306 3450
842 779 9665
50 923 -3040
727 1842 -5790
1732 38 758
81 40 -6939
1510 860 -3384
1501 236 8911
1196 831 -963
1042 508 6931
1388 1572 8449
637 1447 -1774
204 1541 -5106
1437 272 -2698
42 60 8126
1252 5 -117
1820 1032 -7070
762 1292 -8802
1956 128 -317
753 369 -6264
876 456 5888
1498 1025 -1156
1477 168 916
1650 1664 9507
1453 824 -260
781 391 -6444
1378 1131 -1757
1118 94 -1408
416 796 9035
1196 1386 -6629
303 842 -1142
1196 558 6524
1267 68 -7202
1859 106 -6527
1597 1324 -7027
35 1525 7631
1104 285 6334
1440 1458 3484
588 275 3984
1099 1678 8476
1959 1876 9191
1266 377 8682
1809 357 9338
1736 1359 -8383
311 1719 -5345
1200 765 -796
238 466 -38
1008 363 -3725
1036 1039 -8953
1411 9 -3693
1037 1616 -8984
1194 89 -2558
595 1455 -9850
1713 1290 9734
874 618 1825
1882 605 -9976
725 1571 3084
628 517 5257
314 1188 7764
39 1633 9563
424 1024 8922
816 1134 6465
1337 658 -8055
1973 1001 6089
509 1391 6389
56 600 -154
506 936 9502
1609 592 -7297
1523 1868 3929
1396 805 -2764
815 875 2263
1943 314 -4588
285 120 8464
668 1234 -5311
1751 1707 6680
1134 1126 -4201
847 1206 -1841
1985 122 -8160
1599 1696 2760
1098 661 3093
155 6 9510
416 1405 822
526 670 -3130
1030 1455 -2810
1181 1019 -5959
1456 1754 -1218
1462 1581 -3813
757 339 9200
827 1980 4971
1490 446 3094
336 764 -2376
1325 1996 -8935
356 168 -894
1859 1380 -6713
1659 1034 -956
735 256 -9159
658 830 4319
1727 1012 8796
33 288 5570
1213 1108 -4837
1106 1626 7901
1380 474 -3444
563 759 8803
958 7 5495
1310 1494 6096
120 684 7543
1758 600 1765
1726 476 -290
1531 847 156
1417 1712 6279
911 1920 -2618
205 1555 -4436
39 500 9199
464 186 2411
507 1959 3300
1539 113 -2378
204 1250 -4801
1795 1015 -1614
689 544 -9121
1963 559 -5790
599 502 424
1131 231 -7686
1316 1475 1148
1892 991 -4054
1885 837 2617
93 198 61
1632 30 -4454
1426 1304 -7584
782 1965 -1747
958 999 5645
91 1191 4267
642 1293 8557
1876 1926 9170
1100 265 -6005
1357 1804 -9992
1598 1278 7309
579 1968 -7109
1272 233 5146
34 293 9950
1440 294 -9900
988 18 1956
401 1315 -6102
1112 86 3752
538 1355 -8272
959 120 2559
30 1958 4055
1720 1438 427
32 1858 -8808
1142 1782 7827
82 1076 -8748
1158 775 1843
1720 1615 5051
1287 1615 6029
91 1833 -6522
787 1220 5722
1680 1580 -5139
1590 174 9049
561 69 -6677
1773 484 -4093
1525 786 5258
1354 1414 -8585
1609 1124 1031
1247 740 -7257
1720 1526 -5756
1764 668 -4781
548 1387 -7582
1879 1671 1354
1848 1308 2253
39 1538 1216
558 1295 714
433 322 648
1234 621 -8468
749 626 -8568
1123 1113 6391
1298 1920 858
1842 30 -7564
591 1495 -6405
1365 1240 -5953
1563 339 2433
1848 649 -1834
1377 1780 2686
1947 1349 -9600
630 1325 -5921
781 515 -5474
546 1835 -70
1693 1123 2457
1931 177 -7210
1663 1882 -3721
954 1851 -5446
1592 1878 -78
756 16 -6355
42 995 6625
254 821 -1406
1326 855 -9095
727 1308 2214
306 339 1398
607 1283 -9905
1996 452 5000
1967 1800 7373
226 1930 4539
47 233 4998
1191 1192 2774
471 508 -2660
1096 655 6382
1252 1110 3021
1052 1696 -4240
722 1937 6749
1393 1199 1355
17 290 -2122
506 1452 5994
88 1177 7561
361 595 6622
200 1940 7105
1305 649 -837
21 1025 1654
426 919 8255
432 1705 1839
44 1871 -9566
1593 806 -2133
1847 1175 6483
370 73 1851
794 922 7017
1410 1027 1341
1515 1884 -3413
766 863 6139
1532 569 -3470
412 552 7953
285 423 7004
146 734 -5595
1 1481 -4770
616 1413 1660
1779 1634 1191
1364 111 -273
1168 1149 -4833
1318 952 -2432
49 751 -5163
1841 441 -2279
937 62 -5676
792 1427 -1465
1995 146 4959
1725 1193 2538
1266 924 -1186
5 1747 -1880
973 1964 -7550
804 492 4973
351 1200 -8814
1402 488 7694
469 1147 4665
1411 1802 -6973
29 1758 3907
271 1847 -9478
1269 1888 9566
1133 1575 219
1057 897 2082
724 702 -9363
18 1060 -1970
1582 1248 -8039
1434 1545 4479
839 1407 9299
1577 622 -4143
29 1513 5319
1394 1899 -3090
1975 1512 6875
87 1567 -7956
1161 1264 2457
1264 301 -2955
1801 37 -7065
144 417 -5101
767 120 3094
809 1611 -5289
1072 466 -7607
1986 1804 -7462
1611 1931 6269
1244 890 -3262
679 1129 479
1121 1181 -643
293 1192 -3259
1559 632 -9575
4 108 4389
1256 173 -5000
355 731 -3671
1313 372 4683
118 327 -5608
1994 1611 7435
1447 1625 5502
553 1911 -7098
1838 1004 -7760
1152 1786 -3352
801 716 5539
20 1972 6639
1202 93 9654
134 1939 570
1812 1645 -3430
1294 540 -5848
1353 883 -5263
1260 1532 9751
1009 1815 -8196
1038 1685 2875
402 424 9109
463 320 2380
1185 178 -6739
1978 155 9865
1284 1905 3558
1235 767 -3804
976 1259 -673
1817 1490 9310
132 1680 5071
269 827 -1144
1673 1332 -576
1688 1978 -8847
211 59 -7009
1663 1629 3316
541 1130 -3859
348 1202 9886
944 1546 7176
1124 1088 -192
423 20 102
733 476 7576
55 679 -4083
53 984 949
1925 1037 7908
58 945 210
1351 107 -3520
1935 1534 1563
957 686 -1546
1099 1640 1385
1211 91 6034
1940 1988 -232
891 1917 7947
828 249 2434
1260 1058 5816
1122 283 -9095
1158 1179 8912
1040 1906 -6964
1305 1383 6330
1140 1281 -9154
526 962 3531
145 1772 -8617
1041 1040 6389
1915 1637 -9724
1861 1734 6598
1775 1681 -2050
1563 298 3817
1098 1801 6480
1653 1669 -1576
362 1649 -8053
219 1091 631
787 219 4220
75 1089 -7011
331 1507 -5486
826 1251 -9501
1383 1229 2255
1866 1014 -8333
98 463 7705
1792 231 1304
996 720 7072
830 1723 -2172
487 846 3346
1170 1482 -9393
1301 51 373
1193 1755 -7376
1755 843 811
170 1167 -3151
1266 1283 -8087
1656 220 -2708
1866 1488 -2204
1167 1316 -5930
634 1252 -5784
376 1858 -7738
1168 1689 3130
741 131 2990
1588 505 760
1676 750 8403
1141 1590 5712
760 562 -3758
1499 1634 -5828
1781 1048 -9302
1365 1018 -1384
1065 828 581
145 61 -3988
1325 1694 -309
1362 333 2440
1764 1032 3880
1341 755 -5301
942 480 982
472 1432 -3052
1687 525 -286
1359 969 -6857
706 1376 -1887
1417 1208 -4915
6 1186 7370
1047 1492 2651
709 1545 9142
1721 227 -1589
584 257 -9937
1073 1458 -5346
555 924 -7786
1614 1926 -1978
1062 903 -796
177 242 6846
44 1797 -9535
1608 102 -9971
1223 1153 -2505
848 478 5261
1844 264 -8461
1385 957 -354
1653 370 -1293
1335 728 8885
1421 1998 2049
152 519 -7050
261 904 6913
1390 828 8343
4 1226 2301
1123 681 389
640 1107 3013
1655 1449 -4774
872 299 -8425
1291 1666 1077
855 335 -8640
1100 1906 3639
1763 1792 -708
134 1183 1969
1648 1111 4290
1412 740 -9500
638 1535 2363
1409 1063 -9052
1608 115 7375
1750 97 6192
634 1451 -5950
720 657 7906
1335 123 -6783
1763 1465 -7915
457 1658 -5354
1969 775 2875
1133 1592 -3414
1285 764 6543
1000 1690 -728
391 444 -4727
1255 1022 8716
1609 1338 5924
1477 1284 3123
294 1270 -6678
243 1749 -6427
1747 1888 -7820
843 1609 9474
191 690 -2292
1373 1350 -6082
1583 858 3595
789 367 -9264
452 1884 -1459
1770 283 -43
327 1318 -9772
1089 655 -2090
1156 635 -328
1188 949 -1598
1165 878 633
585 3 -1283
282 1922 9450
9 812 4761
1538 1648 -8600
1582 490 9739
901 1518 1952
488 1737 6660
918 1797 -3899
1947 1353 -7126
535 381 -2228
1773 214 -8992
523 723 -4813
1682 1977 -8573
321 117 -1576
1730 1600 -7169
1853 377 -6594
1256 1698 6131
147 295 -6585
1103 74 8572
1471 1768 -3693
1485 1296 -3574
424 903 4061
47 410 1676
1916 183 2377
1225 1611 -2687
1627 1710 -6899
1564 275 -6721
1175 1142 -7601
1675 1174 7076
1291 834 -5817
867 171 -4198
1603 1646 2574
563 1257 6195
586 1282 258
204 699 -7735
1707 1714 -7032
1993 1259 -7225
1158 757 -5023
1179 1289 9144
697 1766 7870
254 1823 4780
1372 498 -3859
1105 1061 -4433
214 1873 9584
336 1602 4395
1618 1448 5246
403 966 6682
131 1413 -7737
475 67 4843
846 524 2226
590 868 -6019
1847 150 7317
478 1273 4938
961 269 9418
897 1720 -9572
975 280 -3046
125 1989 1720
274 1677 -6166
25 1497 3167
1816 1474 -2553
422 95 -3542
1622 456 1804
89 30 -8350
556 1443 -1343
989 1641 -5650
1347 1526 5024
271 407 -6010
559 1057 -8603
1368 1511 3223
1770 1026 2112
224 1100 9342
1686 1558 -820
521 1045 1557
326 1611 4711
1742 1464 9133
43 1888 -4065
1313 575 -8874
1012 1318 2195
1749 1764 -5043
1036 672 -3763
1253 1247 -5407
309 792 4063
108 1405 5939
1195 1870 9618
1273 1057 3352
226 144 4065
316 1496 3383
613 1665 -4477
835 492 5932
1629 1221 -4873
1595 420 5520
450 569 482
133 1690 -7709
1516 1582 9149
1407 1560 -9834
384 1321 4034
689 1526 -5703
374 942 713
1941 850 8104
1426 1592 4999
112 1527 7705
300 1385 -1203
592 277 -5008
7 1016 4635
1299 22 5962
1025 1111 -4475
958 30 -5363
1725 600 8260
872 433 1135
1507 11 6041
1406 419 -8591
1696 1033 -8118
120 126 -7719
1234 1842 -1451
717 1240 -5360
862 925 5427
232 696 6573
1918 290 -1399
853 733 2805
214 508 9093
109 1139 3486
713 688 -3322
1374 790 301
1307 831 4427
1518 1767 -2629
622 1702 -6858
537 1578 4634
1978 989 6665
893 1316 -1285
256 1727 -396
607 1222 6834
675 392 9899
1538 122 -593
1590 1297 787
1412 704 -7106
1305 1637 1649
547 789 -7686
880 1294 5942
678 649 -924
1011 1993 8384
1177 251 499
392 1219 3867
164 1137 -1146
1768 36 -1434
8 1622 -3635
1102 325 617
1135 207 4346
1228 464 -5224
619 770 -3932
1025 874 3936
1214 1205 -9973
693 634 -8518
108 982 -518
325 1326 3501
1119 1638 -8464
652 828 17
1198 1662 -8947
867 1711 1025
348 681 -2600
763 812 7323
1237 1445 1845
362 1981 9287
1309 1000 -3529
1699 1685 35
1866 640 -1923
1764 635 4149
1966 1049 8910
764 577 -9552
1626 417 6495
1081 1364 -1373
1488 493 -6494
1676 212 5951
299 629 -8145
1237 41 -6932
1970 1905 9169
1442 1872 8471
258 688 6867
173 792 515
1736 423 -6621
1705 795 -4488
607 389 -134
1807 472 -8706
261 1473 5442
497 1526 -674
399 106 -9418
1045 1294 5920
1243 1277 7316
778 1280 5798
1693 246 9261
462 1908 -9654
864 1245 -127
692 1812 -404
1766 380 -511
845 1714 -7336
753 1939 -2628
927 856 7159
222 957 -9973
230 1676 5262
1695 761 7963
1094 645 -5927
1308 1002 5948
599 1432 1562
630 14 -6954
1531 1554 -1588
214 1703 -5592
1892 979 1352
1930 494 3293
1436 1393 6587
615 303 5370
1488 1706 3801
549 284 -5874
736 1380 3290
1274 1194 -7439
1813 65 -7790
1009 874 8505
1603 325 -7930
1953 1623 5014
1237 1653 -429
813 1300 -212
11 1065 8132
1436 1914 4475
1898 4 8973
1269 1432 -7477
252 1668 9883
929 617 9014
637 840 7952
1293 81 3951
1817 448 832
635 1482 8131
1672 1104 819
196 70 -5961
541 310 -1624
1768 1676 -322
189 512 8042
1997 944 -3120
418 477 -8965
805 1138 3920
491 1945 6739
303 452 -8772
1002 105 -9279
1233 1482 -4977
873 1435 -8654
1258 471 -6967
1794 839 -8422
605 1360 -4693
1871 1038 -1466
635 1530 -2267
1521 1823 -8028
1152 1681 2562
1045 373 5405
1554 581 5168
706 1214 1189
761 601 5741
1948 1108 -4923
1899 1182 4887
458 713 -2607
1580 686 9348
1452 1179 8677
945 1741 4688
858 156 8432
44 1152 -8177
59 9 7823
1218 1985 -9810
878 1693 -7980
590 600 8257
383 527 -3329
145 301 8250
208 1589 -3102
1862 130 -7282
1444 256 -2440
503 1111 -7959
1922 169 -8510
672 1268 535
931 253 -664
1208 1943 -9390
1386 947 -8341
1490 1590 -4179
88 1186 2424
469 341 -9292
1291 474 4104
1779 1456 -5422
393 328 9685
1847 1274 3730
1253 920 6956
1911 1767 -1332
1667 1742 -2849
252 216 -4443
859 1938 -5847
984 1146 980
1787 458 3680
1379 1523 2124
1571 835 -4856
293 1438 7104
640 1887 3592
671 301 -1473
1411 576 6485
759 965 3814
1498 305 -8631
282 379 -5535
804 1661 -3107
1081 1406 9692
1449 634 -7539
1105 1583 -6141
512 404 -7676
1894 737 8177
1048 338 -734
1395 1943 1432
1046 637 -7372
1728 1120 8383
1854 708 -3647
1995 991 4074
1484 385 -3652
1028 1156 3975
988 1299 3983
732 818 -185
72 1526 -4771
1036 408 5426
390 1832 -6006
974 38 -7807
1534 990 4998
806 588 5966
917 309 -2886
1920 309 -7136
508 495 3971
132 342 6533
1946 641 5754
620 1589 223
978 393 -3943
673 997 -9956
1632 1581 1366
274 755 6894
143 1615 -278
63 1227 292
1480 1207 400
1837 763 -6129
1613 285 9467
273 996 5785
1393 1777 -2054
475 1992 -5869
1343 1996 1391
21 1716 -6165
1840 209 -6891
859 1943 -6465
204 1318 -600
1494 22 5227
317 1976 5189
1898 1930 1821
1609 537 3618
190 1045 4748
1731 712 -5279
1874 1930 -8482
1094 171 7577
1123 1635 7920
900 272 8445
1553 1260 7574
1252 303 -4276
1217 394 9235
1789 580 -7748
1286 1205 -4485
1946 236 -2160
131 1950 2203
662 995 1206
641 290 969
190 533 1902
316 1382 6534
795 1513 647
1585 1324 -1670
605 1943 -8028
1585 1182 2754
912 564 -2503
757 1895 -8592
1875 270 2667
1977 1678 -417
1 702 5789
859 445 -6141
1084 697 6768
1183 322 4372
1649 1952 -4499
1699 610 2214
351 1608 -2454
1333 1735 -8072
1590 1117 -1242
1916 962 -685
681 441 -7649
415 940 -7981
576 1793 -7552
915 1823 -9019
418 580 9030
113 660 894
1261 419 1341
1046 1285 3704
217 855 -8252
342 112 7110
247 96 -9256
564 1121 -3815
941 1650 7762
1253 1194 6993
931 492 2784
390 1725 2550
1393 167 1709
15 465 -9955
1336 596 -4647
210 1737 -9979
1273 1857 -1013
116 1834 -408
1566 1604 7803
1949 521 -1123
1289 1594 -5227
1506 1360 -990
35 1728 2433
1140 137 -2483
808 557 -9753
334 68 -1174
146 1194 -4156
1219 1978 -9572
1968 1415 2595
1567 1188 5007
1564 225 -782
302 1723 1881
1651 805 326
287 733 -6240
738 1279 -8414
433 746 3150
1218 653 509
1917 798 3145
1828 1335 -4851
1874 672 -3901
427 361 9443
198 1513 -3191
1708 492 6706
1447 202 -9090
417 398 -6644
152 45 180
1177 1677 4261
457 1884 794
1198 318 -9303
1856 1545 -5606
1054 741 -7126
244 979 1483
1516 745 2549
1278 1469 -1696
305 709 -1192
1881 1073 8322
1524 1353 2770
965 1158 -6139
1857 494 6029
1058 1607 8770
1159 1365 -5606
1874 1095 -4815
267 823 -5846
1665 967 -6877
1628 1614 3864
114 741 6646
1873 688 1869
138 1286 -8722
1915 1691 9662
879 359 253
628 74 4903
1065 1642 8331
706 213 6897
375 726 7684
1228 1267 2620
1112 773 -3151
647 736 -5593
993 1153 7243
1725 1521 -7721
776 984 8612
344 361 -4047
1528 702 -8920
259 343 -4960
8 1408 -6370
1993 538 -7959
723 14 2979
1072 1208 2763
245 1262 -724
1076 125 3974
908 1658 2017
1468 1972 -322
1865 260 7307
990 1219 -3352
1037 1409 -7581
1867 754 -2027
613 1842 -8373
59 798 -8296
876 1341 4922
1604 579 -8621
1005 1386 4575
800 1686 7559
652 173 -59
1648 576 -4202
1281 19 4562
1869 911 7892
918 746 7882
1871 1979 -8953
896 1239 2869
1583 1939 5168
1939 1054 6881
1056 1743 2781
104 1966 -7579
432 1859 -9277
366 1729 3305
259 1046 8647
1666 181 6339
480 1017 8009
1469 1389 5322
730 445 -2251
1202 1828 -905
70 1154 -9471
1748 1748 4838
1999 1995 -2534
1229 124 8077
728 562 -8932
1159 907 8138
329 1086 6703
407 921 -1629
1681 1304 -6275
762 1721 525
151 1293 -377
38 306 -1410
1897 13 5364
68 654 -4723
1674 16 8941
326 1064 537
40 319 8006
866 1021 2229
304 1193 2820
1463 1182 536
1258 1419 -1246
803 1040 -3698
23 1869 -5552
1033 41 5234
219 1836 8791
510 1580 -8713
1413 1894 8356
1799 447 9689
265 1884 -1979
553 1023 9184
1453 545 -7472
387 1177 554
1143 881 6924
978 1140 433
755 331 -9617
1892 1173 2173
170 1633 -7821
753 401 -4668
397 799 -8318
1969 1051 8396
267 1236 -2387
864 1602 -8045
1010 1576 6416
394 88 7936
764 1699 -2946
1366 1242 -9108
1272 471 -9251
659 1325 -3936
1371 452 -9371
1165 528 -7886
1467 882 -918
636 1963 -9524
238 1244 1098
1795 438 -5719
261 1327 1279
1811 698 -5878
1490 476 1750
1008 1741 1805
1360 338 9141
1144 139 -7177
171 499 -7539
416 1373 9977
1199 538 1174
85 995 492
965 1902 5454
1996 1077 3472
1320 156 -269
1758 1160 9756
1646 1330 7316
738 730 8555
1598 774 -433
1877 1367 -9194
617 1853 8870
1183 1235 4272
963 581 -8113
1388 1556 6286
485 1431 -581
193 414 2981
788 925 -7046
1395 629 -4988
48 1486 6967
666 1776 -4510
589 426 -8708
1395 728 2382
1613 139 -9060
1539 604 1151
190 1453 -7418
343 1712 221
1065 1114 -994
1813 229 8202
1022 232 6286
594 1971 3947
550 1872 4528
904 1928 -5325
1705 364 3075
1240 250 -191
238 969 6229
109 334 5188
1562 53 -2878
1881 1620 45
17 1205 -3372
437 767 3921
241 1799 -7681
362 1280 8769
566 1574 -9194
627 1402 9100
72 1866 -3519
492 315 6376
1680 1551 -7938
1596 1671 -701
351 1269 -7400
307 85 5314
285 1751 -3966
129 806 6871
1176 610 1221
1873 400 -4998
1014 1484 -162
1063 926 -1191
1006 1491 -7021
190 1136 -1271
791 247 7780
1784 1591 -9619
601 1837 -4610
1196 1440 -9671
1287 676 -9775
1274 1211 1818
489 865 2930
1452 1191 3468
1690 991 -2829
525 1217 -6624
1629 9 4483
476 1868 -8674
674 1468 -6923
1581 1415 -891
1413 574 7219
1311 487 -488
977 1969 4549
1006 1417 4624
1679 1397 949
1332 751 7
500 58 -2604
36 1554 -834
1869 303 -7958
1821 82 -1037
332 1733 4661
216 1189 -2669
1016 1624 949
1364 1686 -3845
597 1318 -7843
1800 823 -9287
691 589 2404
567 1306 -1095
1548 1524 -6899
689 907 -5188
1580 1823 -7636
158 822 -1700
1796 1236 8378
186 772 1504
852 1792 -9250
978 1349 497
88 1032 -5985
363 1563 -7605
1948 1419 -5947
912 1001 -9056
1541 984 2438
308 1610 -6639
987 1696 -3145
273 962 -5673
1746 1768 9037
1041 1124 -4407
410 1544 6360
1692 31 -1960
624 605 649
1373 1627 -6537
1034 1726 -1051
1024 292 -7983
465 76 7486
1497 28 -5487
180 1069 -7128
314 1073 2716
1050 334 5080
1590 1745 1888
4 1800 -3897
350 838 4073
1249 1753 -2183
1198 1788 -5477
726 1264 -6569
839 1174 -6748
1025 1535 617
1705 1195 -4603
1874 1802 1863
730 1536 3982
223 313 310
646 741 3165
1231 1086 8383
1713 1897 -4692
1072 1275 3295
1160 319 7479
1613 1675 9133
447 963 -1431
1801 855 1019
356 901 -6682
169 1087 -5908
1512 102 -9600
1265 504 9861
879 491 4634
1318 151 6302
1654 1666 4597
996 1577 6965
453 1956 2617
1016 1947 9700
326 831 626
1593 1881 8597
680 1175 -1084
488 89 4636
67 630 -8382
836 897 2582
890 376 9107
83 1641 -4874
759 336 -358
1451 1213 -8612
1305 95 -3278
420 458 -3096
276 1845 -8925
922 212 7415
305 1649 3168
468 1216 336
563 1217 9890
253 519 7049
1087 536 3829
724 927 7264
691 1027 -8347
1100 273 -4941
1483 1654 -4326
143 1207 5838
888 1696 6074
1166 721 -4118
1230 1774 6685
1972 1092 -7607
110 441 883
265 1193 -6638
1462 1140 2406
160 670 -5552
161 1009 4887
1977 1967 5514
1721 625 9945
467 321 -6126
1904 1859 -7013
282 75 5866
251 1342 4718
979 840 -5702
1591 927 986
1084 1564 7952
1865 116 -9735
1131 228 1823
1840 1650 2990
1041 261 -5500
176 720 6451
933 1422 -6911
300 1399 9222
600 1549 -2091
1445 1292 6339
535 1770 9780
1519 1975 7060
633 217 3533
1861 823 7095
801 1496 3602
72 324 -6891
602 1880 -7621
508 141 5184
35 972 830
1442 128 9120
645 36 4759
817 1276 -8793
522 1052 454
1734 1439 -436
487 1253 -8551
1773 1639 4684
1045 1269 5001
1703 1988 -6309
593 1561 3951
669 1892 -5927
23 1155 8109
1165 351 -133
1462 1539 376
1670 936 -7622
434 487 7883
306 1606 5001
1469 151 8554
1001 1915 3620
179 725 132
917 667 -3100
162 1857 -7099
1995 1646 500
40 432 -9483
1102 908 -7670
419 43 -3373
1832 378 -1419
1890 1949 9701
1471 276 -1380
1378 262 -4173
202 1280 -2737
318 1118 531
1362 1525 1615
538 1371 7043
712 1591 2912
1298 319 -8642
120 1733 -2216
1932 1058 -5167
303 1794 -5595
109 1615 -5486
963 758 -6697
1804 791 -9070
443 1762 -3546
1104 1285 -5972
1469 788 -2074
1658 1747 1546
413 1264 -9027
534 1517 -8343
1208 1651 6449
1125 1726 4371
1429 728 1846
42 1550 5264
1565 1024 5585
1516 1590 1862
908 690 -6635
1016 1046 -1368
1265 1207 9068
1510 260 2344
648 818 7692
